FISCAL_YEAR,FISCAL_PERIOD,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESCR,TRANS_DT,MERCHANDISE_AMT
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,BRENNAN'S OFFICE INTER,OFFICE AND COMMERCIAL FURNITURE,6/27/2014,240
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,C6 STARBUCKS B21631510,FAST FOOD RESTAURANTS,6/27/2014,10.21
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,CAFE BEIGNET I,EATING PLACES RESTAURANTS,6/27/2014,7.99
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,GLOBE,EATING PLACES RESTAURANTS,6/27/2014,12
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HISTORIC HOTEL BETHLEH,LODGING,6/27/2014,35
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HISTORIC HOTEL BETHLEH,LODGING,6/27/2014,696.6
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HISTORIC HOTEL BETHLEH,LODGING,6/27/2014,698.7
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MAMA MELROSE'S RIST,EATING PLACES RESTAURANTS,6/27/2014,23.65
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,PMI BWI AIRPORT PARKNG,AUTOMOBILE PARKING LOTS AND GARAGES,6/27/2014,36
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/27/2014,15.57
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,STAPLS7120127157000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,6/27/2014,369.92
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,SUBWAY 00334268,FAST FOOD RESTAURANTS,6/27/2014,12.02
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,USAIRWAYS 0372363399881,AIRLINE,6/27/2014,25
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,VZWRLSS*MY VZ VB P,TELECOM INCL PREPAID-RECURRING PHONE SVCS,6/27/2014,1035.32
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,WHOLESALE JANITOR,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,6/27/2014,1999
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,MARRIOTT 337J4 SAN RC F/B,LODGING,6/27/2014,10.28
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,MARRIOTT 337J4 SAN RC F/B,LODGING,6/27/2014,20.85
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/27/2014,12.88
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,TOWER AMERICAS REST,EATING PLACES RESTAURANTS,6/27/2014,30.41
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMERICAN AI 0010269330166,AIRLINE,6/28/2014,25
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,CALIFORNIA PIZZA 049,EATING PLACES RESTAURANTS,6/28/2014,21.88
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,CHICK-FIL-A #00238,FAST FOOD RESTAURANTS,6/28/2014,6.79
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,COLUMBIA HARBOR HOU,FAST FOOD RESTAURANTS,6/28/2014,17.23
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2014,145.28
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2014,4.36
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2014,466.86
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2014,510.9
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2014,9.95
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MAX LAGERS,EATING PLACES RESTAURANTS,6/28/2014,12.8
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/28/2014,21.1
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,AMERICAN AI 0010652996201,AIRLINE,6/28/2014,75
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,ESPN SPORTS CLUB,EATING PLACES RESTAURANTS,6/28/2014,19.58
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,MARRIOTT 337J4 SAN RC F/B,LODGING,6/28/2014,4.87
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,GUAVA AND JAVA,FAST FOOD RESTAURANTS,6/28/2014,5.3
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,DURANGOS STEAKHOUSE,EATING PLACES RESTAURANTS,6/29/2014,42
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,LEGAL SEA FOODS #016,EATING PLACES RESTAURANTS,6/29/2014,32.76
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,LEGAL SEA FOODS #016,EATING PLACES RESTAURANTS,6/29/2014,34
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33787 COPLEY F AND B,LODGING,6/29/2014,7.43
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,RAGLAN ROAD,EATING PLACES RESTAURANTS,6/29/2014,39.02
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,RPS SALISBURY,AUTOMOBILE PARKING LOTS AND GARAGES,6/29/2014,80
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/29/2014,10.29
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,UPS*000021X956,FREIGHT CARRIER TRUCKING-LCL-LNG DIST MVG-STORAGE,6/29/2014,6.08
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,UPS*000021X956,FREIGHT CARRIER TRUCKING-LCL-LNG DIST MVG-STORAGE,6/29/2014,7.75
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,AMERICAN AI 0010269385701,AIRLINE,6/29/2014,25
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,BURRITO BEACH #7,EATING PLACES RESTAURANTS,6/29/2014,7.94
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,CVS PHARMACY #3210 Q03,DRUG STORES PHARMACIES,6/29/2014,3.34
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,LUXOR BACKSTAGE DELI,EATING PLACES RESTAURANTS,6/29/2014,16.2
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,LUXOR HOTEL/CASINO,LODGING,6/29/2014,165.76
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,MARRIOTT 337J4 SAN RC F/B,LODGING,6/29/2014,4.87
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,WESTIN SWAN DINING,EATING PLACES RESTAURANTS,6/29/2014,7.99
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,WESTIN SWAN DINING,EATING PLACES RESTAURANTS,6/29/2014,8.52
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,CAPITAL GRILLE00080366,EATING PLACES RESTAURANTS,6/29/2014,78.15
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,6/29/2014,19.54
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,6/29/2014,7.28
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,CEA,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,6/30/2014,325
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,2GRGA WRLD CGR12924304,FAST FOOD RESTAURANTS,6/30/2014,11.5
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,ARAMARK TURNER FIELD,FAST FOOD RESTAURANTS,6/30/2014,24.5
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,DUNKIN #300417 Q35,FAST FOOD RESTAURANTS,6/30/2014,7.71
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,FOGO DE CHAO BOSTON,EATING PLACES RESTAURANTS,6/30/2014,50
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,FRESH ATTRACTI10154607,FAST FOOD RESTAURANTS,6/30/2014,12.85
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33787 COPLEY F AND B,LODGING,6/30/2014,6.9
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33790 ATL MRQ FB,LODGING,6/30/2014,6.48
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,NASP - PO BOX,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,6/30/2014,199
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/30/2014,21.07
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/30/2014,6.97
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,SOUTHWES 5262427465337,AIRLINE,6/30/2014,418
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,WESTIN SWAN,LODGING,6/30/2014,1006.9
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,WESTIN SWAN,LODGING,6/30/2014,7.99
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,AUNTIE ANNE'S,FAST FOOD RESTAURANTS,6/30/2014,8.1
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,CONVENTION CENTER STORE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,6/30/2014,9.87
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,COSMOPOLITAN HOLSTEIN'S,EATING PLACES RESTAURANTS,6/30/2014,22.63
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,PHILLY AIR AUBONPAIN 2,FAST FOOD RESTAURANTS,6/30/2014,10.97
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,ROSIE'S ALL-AMERICA,FAST FOOD RESTAURANTS,6/30/2014,12.34
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/30/2014,16.79
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/30/2014,8.7
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,USAIRWAYS 0372363730756,AIRLINE,6/30/2014,25
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,YELLOW CAB OF SAN ANTO,TRAVEL,6/30/2014,28.36
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,CEA,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,6/30/2014,325
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,6/30/2014,11
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,6/30/2014,4.13
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,RANDOLPH TAVERN,EATING PLACES RESTAURANTS,6/30/2014,45.68
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,MARRIOTT 337J4 S ANTON RC,LODGING,07-01-2014,1218.9
2015,1,MINISTRY OF FINANCE,CLAIM DEPARTMENT,OFFICEMAX CT*IN#854733,OFFICE SCHOOL SUPPLY AND STATIONERY STORES,07-01-2014,68.56
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,07-01-2014,250
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,07-01-2014,482
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33790 ATL MRQ FB,LODGING,07-01-2014,29
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT RIVERBEND GRILL,LODGING,07-01-2014,21.76
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,TRAVEL TRADERS 0204,GIFT CARD NOVELTY AND SOUVENIR SHOPS,07-01-2014,8.44
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,USAIRWAYS 0372363962891,AIRLINE,07-01-2014,25
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,XEROX CORPORATION/RBO,OFFICE PHOTOGRAPHIC PHOTOCOPY MICROFILM EQUIPMT,07-01-2014,148.36
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,COSMOPOLITAN BUFFET WSB,EATING PLACES RESTAURANTS,07-01-2014,41.08
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,PARADISO 37,EATING PLACES RESTAURANTS,07-01-2014,28.14
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,GIBSONS ROSEMONT,EATING PLACES RESTAURANTS,07-01-2014,59.72
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,07-01-2014,20.33
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMAZON.COM,BOOK STORES,07-02-2014,420.42
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMAZON.COM,BOOK STORES,07-02-2014,420.42
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HILTON HOTELS CAPITAL,LODGING,07-02-2014,182.06
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HILTON HOTELS CAPITAL,LODGING,07-02-2014,47.2
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33787 COPLEY F AND B,LODGING,07-02-2014,6.9
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33790 ATL MARQUI,LODGING,07-02-2014,219.24
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33790 ATL MARQUI,LODGING,07-02-2014,876.96
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33790 ATL MRQ FB,LODGING,07-02-2014,22
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,PA ASSN FOR COLLEGE ADMIS,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,07-02-2014,45
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,PAYPAL *PEACH FEST,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,07-02-2014,125
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,FOOD COURT,GIFT CARD NOVELTY AND SOUVENIR SHOPS,07-02-2014,13.46
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,FRONTIER AI 4222606139383,AIRLINE,07-02-2014,20
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,MB CITIZENS,EATING PLACES RESTAURANTS,07-02-2014,14.06
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,ROMANO S GRILL10158400,EATING PLACES RESTAURANTS,07-02-2014,21.1
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,WESTIN SWAN,LODGING,07-02-2014,999.04
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,HYATT HOTELS O'HARE,LODGING,07-02-2014,-28.03
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,HYATT HOTELS O'HARE,LODGING,07-02-2014,363.64
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,OHARE BAR AND GR20258539,EATING PLACES RESTAURANTS,07-02-2014,19.56
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,PPA PHILADELPHIA AIRPORT,AUTOMOBILE PARKING LOTS AND GARAGES,07-02-2014,55
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,BOS TAXI 0270,TRAVEL,07-03-2014,27.05
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,DOLRTREE 1563 00015636,VARIETY STORES,07-03-2014,219
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,GRANARY TAVERN,EATING PLACES RESTAURANTS,07-03-2014,21.99
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33790 ATL MARQUI,LODGING,07-03-2014,438.48
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT CHAMPIONS,LODGING,07-03-2014,23.5
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,PMI BWI AIRPORT PARKNG,AUTOMOBILE PARKING LOTS AND GARAGES,07-03-2014,54
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,PMI BWI AIRPORT PARKNG,AUTOMOBILE PARKING LOTS AND GARAGES,07-03-2014,55
2015,1,MINISTRY OF FINANCE,CYBER ISSUE DEPT,HYATT HOTELS O'HARE,LODGING,07-03-2014,168.37
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMTRAK .COM 1850653015005,TRAVEL,07-04-2014,185
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMTRAK .COM 1850653015013,TRAVEL,07-04-2014,-21
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMTRAK .COM 1850710066314,TRAVEL,07-04-2014,83
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMTRAK .COM 1850726055780,TRAVEL,07-04-2014,15
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,FAMILY DOLLAR #1766,VARIETY STORES,07-04-2014,5
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33787 COPLEY PL,LODGING,07-04-2014,1229.16
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33787 COPLEY PL,LODGING,07-04-2014,1229.16
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARRIOTT 33787 COPLEY PL,LODGING,07-04-2014,24
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,LAS VEGAS SUPERSHUTTLE,CLAIMS DEPT SERVICES NOT ELSEWHERE CLASSIFIED,07-05-2014,-11.8
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,LAS VEGAS SUPERSHUTTLE,CLAIMS DEPT SERVICES NOT ELSEWHERE CLASSIFIED,07-05-2014,14.8
2015,1,MINISTRY OF FINANCE,INSURANCE DEPARTMENT,USAIRWAYS 0372364394873,AIRLINE,07-05-2014,25
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,07-06-2014,11.91
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,07-06-2014,2.5
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,07-06-2014,5.03
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,BOS TAXI 0824,TRAVEL,07-07-2014,45.9
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,CAFFE GELATO,EATING PLACES RESTAURANTS,07-07-2014,200
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,CAMBRIDGE 1,EATING PLACES RESTAURANTS,07-07-2014,30.5
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,CHICK-FIL-A #02193,FAST FOOD RESTAURANTS,07-07-2014,13.76
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,07-07-2014,8.25
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,LE'S RESTAURANT,EATING PLACES RESTAURANTS,07-07-2014,14.29
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,LIAISON HOTEL Q96,AUTOMOBILE PARKING LOTS AND GARAGES,07-07-2014,14
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,MARIA MIA MEXICAN BISTRO,EATING PLACES RESTAURANTS,07-07-2014,15.01
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,ROYAL FARMS #163,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE,07-07-2014,7.02
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,TANJORE,EATING PLACES RESTAURANTS,07-07-2014,30.59
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,THE LIAISON CAPITOL HILL,LODGING,07-07-2014,-9.99
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,THE LIAISON CAPITOL HILL,LODGING,07-07-2014,14.99
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,THE LIAISON CAPITOL HILL,LODGING,07-07-2014,192.05
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,USPS 09082005335430727,POSTAL SERVICES-GOVERNMENT ONLY,07-07-2014,19.47
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,VILLA PIZZA B - PHILLY,FAST FOOD RESTAURANTS,07-07-2014,7.11
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,WEST WING CAFE III,FAST FOOD RESTAURANTS,07-07-2014,11.3
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,WEST WING CAFE III,FAST FOOD RESTAURANTS,07-07-2014,9.88
2015,1,MINISTRY OF FINANCE,CLAIM DEPARTMENT,XEROX CORPORATION/RBO,OFFICE PHOTOGRAPHIC PHOTOCOPY MICROFILM EQUIPMT,07-08-2014,195.21
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMAZON.COM,BOOK STORES,07-08-2014,-179
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,AMAZON.COM,BOOK STORES,07-08-2014,-179
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,BVS FOOD AND BEV,EATING PLACES RESTAURANTS,07-08-2014,12.78
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,DD/BR 349240 Q35,FAST FOOD RESTAURANTS,07-08-2014,7.19
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,DOLRTREE 4195 00041954,VARIETY STORES,07-08-2014,81
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,07-08-2014,13.3
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,PENSKE TRK LSG 044610,CAR RENTAL,07-08-2014,91
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,STAPLS7120506640000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,07-08-2014,146.86
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,USAIRWAYS 0372364766191,AIRLINE,07-08-2014,25
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,USPS 09082005335430727,POSTAL SERVICES-GOVERNMENT ONLY,07-08-2014,12.98
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,WAGAMAMA INC.,EATING PLACES RESTAURANTS,07-08-2014,16.64
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,WAL-MART #1736,GROCERY STORES SUPERMARKETS,07-08-2014,174.87
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,WWW.CSIET.ORG,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,07-08-2014,550
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,07-09-2014,241
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,07-09-2014,250
2015,1,MINISTRY OF FINANCE,DEBIT CARD DEPARTMENT,CREATESPACE,MISCELLANEOUS PUBLISHING AND PRINTING,07-09-2014,29.99
